CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"1,183",64,"15,720",10.21,439.30,158.20,260,436.30,440.00,260,"25,750.00",975,9.95,10.10,780,-19.05,9.95,8.84,"5,75,219","15,222","40,101",
,"7,841","-4,508","1,31,932",9.72,392.00,151.60,195,391.35,392.30,585,"25,800.00","1,235",12.70,12.85,65,-26.20,12.70,8.54,"10,56,106","41,717","83,576",
,"3,610","-1,281","98,606",9.19,345.10,141.50,260,344.90,346.05,325,"25,850.00",650,16.50,16.70,845,-34.90,16.60,8.29,"7,92,505","38,769","62,220",
,"16,716","-16,366","5,59,181",8.91,301.10,131.35,260,300.15,301.10,130,"25,900.00","1,430",21.70,21.80,455,-45.55,21.70,8.04,"16,62,336","54,900","1,18,289",
,"10,157","-14,830","7,58,387",8.58,258.05,119.65,260,257.55,258.40,65,"25,950.00","2,080",28.80,29.05,130,-56.65,29.10,7.87,"15,48,347","48,240","72,440",
,"67,492","-38,862","29,79,908",8.35,218.00,106.90,195,217.35,218.00,520,"26,000.00",845,38.15,38.30,130,-70.40,38.20,7.66,"39,91,397","1,34,442","2,09,026",
,"20,932","-2,785","20,46,860",8.13,180.40,92.45,130,179.75,180.45,130,"26,050.00",325,50.20,50.40,65,-85.00,50.40,7.49,"20,26,436","78,404","89,734",
,"63,816",-571,"33,18,093",7.88,145.30,78.10,260,145.30,145.95,195,"26,100.00",195,65.75,65.95,130,-98.45,65.75,7.32,"25,00,347","89,458","1,22,617",
,"56,438","34,458","21,90,589",7.77,115.50,64.85,585,115.00,115.50,"8,320","26,150.00",780,84.80,85.00,"3,250",-112.35,85.00,7.18,"14,69,211","46,761","51,774",
,"97,420","26,830","29,76,113",7.60,88.50,51.05,65,88.50,88.90,975,"26,200.00",390,108.10,108.40,130,-125.20,108.30,7.03,"14,28,340","43,467","62,595",
,"34,123","9,843","14,13,139",7.44,65.70,39.00,845,65.70,66.05,195,"26,250.00",325,135.35,135.55,325,-136.85,135.55,6.86,"3,00,520","10,173","14,275",
,"87,954","17,140","20,38,419",7.30,47.10,28.15,65,47.20,47.30,"1,105","26,300.00",910,166.70,167.00,"2,210",-145.95,166.70,6.64,"3,61,261","13,098","26,432",
,"35,249","11,900","11,30,819",7.22,32.95,19.40,715,32.95,33.15,390,"26,350.00",390,202.40,203.00,195,-154.00,202.80,6.49,"64,006","4,226","4,952",
,"1,18,270","67,103","14,55,528",7.13,22.15,12.45,780,22.00,22.15,"1,560","26,400.00",910,241.50,242.45,130,-165.30,241.20,6.13,"73,235","5,005","7,160",
,"34,280","18,813","8,35,962",7.16,15.05,7.90,"1,170",14.90,15.05,130,"26,450.00",65,284.25,286.40,260,-164.60,283.90,5.81,"11,937","1,353","1,575",
,"1,06,143","40,168","13,31,868",7.26,10.30,4.50,975,10.30,10.40,"3,640","26,500.00",520,328.60,329.85,650,-173.45,328.35,4.90,"48,028","5,249","13,526",
,"25,486","11,353","5,86,728",7.37,7.05,2.60,520,7.00,7.10,65,"26,550.00",260,375.35,376.95,65,-172.80,375.85,-,"2,803",376,721,
,"87,577","41,910","8,24,822",7.62,5.20,1.60,130,5.20,5.25,910,"26,600.00",260,423.05,424.00,65,-186.05,422.45,-,"5,476","1,169","2,062",
,"19,842","9,638","4,20,252",7.80,3.70,0.65,"2,340",3.65,3.75,325,"26,650.00",520,470.30,485.90,"1,300",-171.35,473.00,-,623,192,269,
,"65,887","23,102","8,63,301",8.14,2.95,0.20,260,2.95,3.00,"1,040","26,700.00",520,519.15,526.45,520,-183.55,520.25,-,"1,309",157,"1,661",
,"17,216","8,599","3,54,299",8.48,2.40,0.15,195,2.35,2.40,130,"26,750.00",260,569.60,585.00,"1,300",-179.25,570.00,-,321,105,229,
,"45,675","1,707","6,63,026",8.88,2.05,-0.05,130,2.00,2.05,"7,735","26,800.00",260,618.45,624.25,260,-166.90,623.00,-,536,113,450,
,"9,445","2,809","2,29,884",9.22,1.70,-0.20,910,1.70,1.75,130,"26,850.00",260,667.35,703.55,"1,300",-191.35,668.65,-,27,7,29,
,"26,008","4,707","2,80,338",9.67,1.55,-0.20,"1,430",1.55,1.60,"15,145","26,900.00","1,300",701.90,730.85,"1,040",-162.10,724.00,-,337,-51,484,
,"7,685",976,"1,03,273",10.04,1.35,-0.30,"17,940",1.35,1.40,130,"26,950.00","1,300",737.50,781.05,"1,040",-170.60,777.75,10.28,49,13,33,
,"98,638","14,217","7,05,024",10.59,1.35,-0.40,"1,79,335",1.35,1.40,"2,89,900","27,000.00",260,817.90,820.00,65,-167.70,820.80,-,936,91,"2,442",
,"12,590","7,983","93,965",10.85,1.10,-0.55,"1,38,710",1.10,1.15,"14,300","27,050.00",520,864.25,879.40,845,-171.45,852.70,-,22,7,8,
,"27,646","14,550","2,32,152",11.44,1.15,-0.30,"35,685",1.15,1.20,"2,31,205","27,100.00","1,300",885.60,942.70,"1,300",-169.95,927.00,11.40,28,-7,111,
,"4,052","2,238","49,979",11.84,1.05,-0.30,455,1.05,1.10,130,"27,150.00",520,964.15,978.20,780,43.90,966.15,-,3,2,3,
,"35,373","10,180","2,53,152",12.29,1.00,-0.30,"9,68,045",0.95,1.00,"30,355","27,200.00",520,"1,011.85","1,030.55","1,040",-180.10,"1,020.60",-,42,5,101,
,"2,454",590,"36,477",12.80,1.00,-0.25,"7,345",1.00,1.05,"16,835","27,250.00",65,"1,062.75","1,078.50",65,-145.70,"1,059.60",-,6,-,5,
,"30,858","6,779","1,33,156",13.15,0.90,-0.30,"6,16,005",0.85,0.90,"2,13,460","27,300.00",520,"1,079.45","1,171.30",390,-187.50,"1,098.50",-,4,-,7,
,"4,909",717,"27,021",13.57,0.85,-0.30,"2,16,645",0.80,0.85,"15,990","27,350.00",390,"1,129.00","1,221.90",390,-,"1,303.15",-,-,-,1,
,"27,769","4,085","1,14,404",13.97,0.80,-0.35,"2,52,200",0.80,0.85,"2,02,475","27,400.00",390,"1,177.65","1,270.40",390,-30.50,"1,218.40",-,12,6,10,
,"4,510",196,"20,461",14.46,0.80,-0.25,585,0.80,0.85,"42,575","27,450.00",390,"1,227.70","1,322.05",390,-,"1,388.20",-,-,-,1,
,"51,845","3,597","2,16,793",14.95,0.80,-0.35,"11,51,345",0.75,0.80,"1,42,935","27,500.00",65,"1,312.00","1,372.50",65,-165.55,"1,325.05",-,47,10,175,
,"2,164",53,"11,913",15.33,0.75,-0.30,"19,045",0.75,0.80,"45,305","27,550.00",65,"1,338.45","1,424.05",390,-,"1,490.75",-,-,-,1,
,"26,258","1,055","42,687",15.82,0.75,-0.30,"2,145",0.75,0.80,"1,94,220","27,600.00",65,"1,401.40","1,473.75",390,-,"1,534.60",-,-,-,1,
,"2,776",2,"9,494",16.18,0.70,-0.30,"42,770",0.70,0.75,"20,995","27,650.00",65,"1,438.35","1,598.00","1,495",-,"1,630.00",-,-,-,3,
,"14,109","1,385","14,077",16.65,0.70,-0.40,"73,645",0.70,0.75,"2,600","27,700.00",65,"1,483.40","1,567.05",650,-,"1,688.30",-,-,-,3,
,346,240,"3,127",17.12,0.70,-0.40,"31,070",0.70,0.75,"5,395","27,750.00",390,"1,525.30","1,622.25",390,-,"1,688.80",-,-,-,1,
,"16,576","4,850","39,810",17.59,0.70,-0.35,"15,275",0.70,0.75,"2,18,530","27,800.00",390,"1,575.00","1,673.65",130,-105.00,"1,735.00",43.94,1,1,6,
,877,638,"3,971",18.06,0.70,-0.30,"16,575",0.70,0.75,"4,680","27,850.00",65,"1,626.65","1,716.75",390,-,"1,789.05",-,-,-,1,
,"8,541","2,234","26,664",18.39,0.65,-0.35,"5,35,795",0.65,0.70,"93,600","27,900.00",130,"1,714.50","1,720.85",130,-180.05,"1,717.05",-,406,24,810,
,"16,787","6,981","30,488",18.85,0.65,-0.30,"4,91,985",0.65,0.70,"1,92,530","27,950.00",65,"1,724.30","1,819.95",390,-,"1,950.00",-,-,-,7,
