CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"1,132",-6,207,28.78,"2,171.95",179.60,"1,300","2,170.60","2,181.35",65,"24,000.00","16,315",1.30,1.35,"1,08,940",0.05,1.30,26.17,"1,60,788","34,646","60,289",
,3,2,2,35.19,"2,132.45",120.60,390,"2,063.40","2,179.70",390,"24,050.00","94,185",1.20,1.30,"1,820",-0.20,1.20,25.39,"22,755","2,426","2,924",
,7,2,2,-,"2,030.00",170.00,390,"2,013.55","2,134.30",390,"24,100.00","2,730",1.25,1.30,"2,340",-0.05,1.30,25.05,"43,040","6,007","7,663",
,3,2,2,36.28,"2,039.15",122.75,65,"1,964.00","2,079.80",390,"24,150.00","3,510",1.25,1.45,325,-0.10,1.30,24.48,"12,437","1,206","1,380",
,4,2,2,35.51,"1,989.20",94.20,65,"1,913.80","2,000.35",65,"24,200.00","2,080",1.30,1.40,"1,430",-,1.35,24.02,"50,278","8,904","10,239",
,6,2,2,-,"1,919.10",174.10,390,"1,864.10","1,979.65",390,"24,250.00",130,1.40,1.55,"1,755",0.05,1.35,23.45,"21,593","1,773","1,918",
,10,1,1,-,"1,865.95",180.55,65,"1,814.75","1,929.65",650,"24,300.00",130,1.40,1.50,130,-0.10,1.35,22.89,"30,605","3,451","4,655",
,4,-,1,-,"1,762.40",110.40,390,"1,764.70","1,879.75",650,"24,350.00",455,1.55,1.65,"1,560",0.05,1.50,22.59,"5,730",936,"1,069",
,11,-,-,-,"1,542.00",-,390,"1,715.40","1,830.15",390,"24,400.00","1,430",1.65,1.75,"1,105",0.20,1.70,22.34,"35,470","2,104","3,063",
,3,2,2,28.73,"1,731.50",116.10,390,"1,665.75","1,780.30",390,"24,450.00",65,1.75,1.85,195,0.15,1.70,21.77,"14,327",691,902,
,300,40,96,24.71,"1,675.25",167.70,"1,170","1,672.85","1,692.40",65,"24,500.00","1,430",1.85,1.90,585,0.40,1.90,21.47,"1,94,566","10,463","38,333",
,5,4,4,-,"1,618.85",96.55,390,"1,566.35","1,680.25",390,"24,550.00",455,1.85,2.00,650,0.25,1.85,20.82,"18,379",796,"1,092",
,46,-,-,-,"1,390.00",-,390,"1,516.65","1,630.45",390,"24,600.00",585,2.00,2.05,"1,040",0.25,2.00,20.43,"1,04,646","3,988","9,654",
,13,-,2,16.26,"1,520.40",185.40,390,"1,466.35","1,580.05",390,"24,650.00",845,2.00,2.15,780,0.10,2.00,19.84,"31,657","1,264","1,641",
,55,-,7,18.77,"1,471.80",160.20,390,"1,417.10","1,530.15",650,"24,700.00",520,2.15,2.25,390,0.25,2.15,19.43,"1,26,550","12,197","20,964",
,4,2,2,-,"1,419.90",179.90,390,"1,367.35","1,480.25",390,"24,750.00","1,365",2.20,2.25,520,0.10,2.25,18.94,"56,890","2,487","4,251",
,85,-,8,25.28,"1,386.85",238.85,65,"1,370.55","1,393.00",65,"24,800.00","1,105",2.25,2.35,130,0.10,2.25,18.34,"2,22,112","21,390","29,803",
,9,2,10,26.87,"1,345.80",210.80,390,"1,268.05","1,380.60",130,"24,850.00",975,2.35,2.45,"1,170",0.05,2.45,17.94,"95,897","12,749","14,091",
,40,3,19,22.33,"1,282.55",224.55,65,"1,218.15","1,330.30",390,"24,900.00","4,550",2.40,2.50,780,0.10,2.50,17.38,"2,02,186","14,745","22,814",
,5,2,2,14.82,"1,221.50",175.00,520,"1,168.95","1,280.95",390,"24,950.00","1,495",2.70,2.80,130,0.15,2.75,16.99,"1,02,100","3,963","5,374",
,"2,111",-57,"1,108",21.25,"1,183.95",178.15,130,"1,177.35","1,183.40",130,"25,000.00","6,825",2.90,2.95,"1,235",0.05,2.90,16.50,"6,63,130","62,249","1,17,562",
,41,-,-,-,940.00,-,390,"1,069.20","1,180.80",390,"25,050.00",650,3.05,3.15,910,0.20,3.15,16.07,"1,47,245","5,006","6,984",
,566,-37,287,18.75,"1,081.00",170.50,390,"1,075.00","1,094.05",195,"25,100.00","97,955",3.20,3.30,"4,030",0.10,3.20,15.47,"2,87,171","18,348","33,224",
,126,101,116,13.83,"1,022.85",161.05,390,"1,026.50","1,041.65",65,"25,150.00",520,3.35,3.40,"2,210",0.05,3.45,15.01,"1,14,573","8,104","11,651",
,553,54,365,16.89,980.00,171.25,520,976.15,985.55,260,"25,200.00","4,355",3.50,3.60,65,-0.10,3.60,14.46,"5,36,906","49,384","82,432",
,153,142,173,13.89,924.80,158.85,520,926.80,936.80,520,"25,250.00","1,885",3.65,3.75,"1,235",-0.30,3.75,13.90,"1,86,848","4,057","11,905",
,962,75,460,15.79,881.25,173.55,260,878.05,885.50,260,"25,300.00","1,300",3.95,4.05,"1,625",-0.55,4.00,13.39,"5,42,221","41,501","84,206",
,207,193,281,13.52,826.95,173.20,520,826.05,835.60,260,"25,350.00",845,4.05,4.15,"1,105",-0.70,4.15,12.81,"2,16,538","9,484","16,555",
,996,120,738,13.90,780.10,177.55,260,779.25,783.95,325,"25,400.00","2,405",4.40,4.50,"2,275",-1.10,4.50,12.31,"5,04,543","39,386","68,022",
,273,218,513,13.69,732.05,166.60,780,725.90,735.55,260,"25,450.00","1,040",4.55,4.70,"2,015",-1.85,4.55,11.65,"2,40,267","3,743","17,134",
,"9,329","2,198","11,998",13.51,684.50,179.50,260,682.05,684.50,195,"25,500.00","9,620",5.00,5.10,780,-2.75,5.10,11.19,"5,97,296","30,139","87,043",
,381,274,798,12.29,632.75,163.65,260,631.35,635.05,325,"25,550.00",650,5.35,5.45,520,-4.55,5.30,10.57,"2,92,349","4,364","17,434",
,"2,973",767,"9,258",12.25,586.25,171.30,260,581.85,586.15,260,"25,600.00",845,5.85,5.90,"6,500",-6.75,5.85,10.05,"7,14,624","19,482","81,469",
,"1,044",-194,"4,683",11.66,537.55,163.60,260,534.05,536.90,325,"25,650.00",325,6.85,6.95,845,-9.90,6.80,9.61,"5,22,221","28,154","46,287",
,"3,498",-154,"27,586",10.67,486.90,161.15,260,485.85,488.25,325,"25,700.00","1,365",8.00,8.10,780,-14.15,7.95,9.17,"8,95,209","39,656","90,108",
